#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-20.22, 14.42, -6.71 	-0.13, 1.82, -6.78 	0.00, 10.00 	14,49,3,686		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.13, 1.82, -6.78 	0.00, 10.00 	14,49,3,686		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.13, 1.82, -6.78 	0.00, 10.00 	14,49,3,686		-nan,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.13, 1.82, -6.78 	0.00, 10.00 	14,49,3,686		inf,-nan	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.13, 1.82, -6.78 	0.00, 10.00 	14,49,3,686		-nan,-nan	0,0 	0
0       	-20.21, 14.40, -6.72 	-0.15, 1.80, -6.77 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.22, 14.40, -6.72 	-0.14, 1.81, -6.77 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.15, 1.80, -6.77 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.14, 1.80, -6.77 	0.00, 10.00 	14,49,3,686		-nan,inf	0,0 	0
0       	-20.23, 14.41, -6.72 	-0.12, 1.80, -6.77 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.12, 1.82, -6.79 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.72 	-0.13, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.12, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.14, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.22, 14.39, -6.72 	-0.11, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.22, 14.39, -6.72 	-0.13, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.20, 14.39, -6.72 	-0.17, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.72 	-0.17, 1.82, -6.78 	0.00, 10.00 	14,49,3,687		inf,-nan	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.15, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.22, 14.40, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		-nan,-nan	0,0 	0
0       	-20.22, 14.40, -6.71 	-0.15, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.83, -6.79 	0.00, 10.00 	14,49,3,687		inf,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.82, -6.78 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.14, 1.82, -6.78 	0.00, 10.00 	14,49,3,687		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.14, 1.82, -6.78 	0.00, 10.00 	14,49,3,687		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.82, -6.78 	0.00, 10.00 	14,49,3,687		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,687		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		-nan,-nan	0,0 	0
0       	-20.22, 14.40, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.82, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.84, -6.80 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.14, 1.83, -6.80 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.84, -6.80 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.12, 1.84, -6.79 	0.00, 10.00 	14,49,3,688		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.14, 1.83, -6.79 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.14, 1.83, -6.78 	0.00, 10.00 	14,49,3,688		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.13, 1.83, -6.78 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.17, 1.85, -6.78 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.17, 1.85, -6.78 	0.00, 10.00 	14,49,3,688		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.17, 1.86, -6.78 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.17, 1.87, -6.79 	0.00, 10.00 	14,49,3,688		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.86, -6.78 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.86, -6.79 	0.00, 10.00 	14,49,3,689		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.18, 1.85, -6.78 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.15, 1.87, -6.79 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.11, 1.86, -6.78 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.14, 1.83, -6.79 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.14, 1.83, -6.82 	0.00, 10.00 	14,49,3,689		inf,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.12, 1.87, -6.87 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
