#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	9.74, -6.95, -11.05 	135.74, -269.77, -11.93 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.71, -6.97, -11.04 	136.23, -270.67, -11.93 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.72, -6.94, -11.04 	136.23, -270.67, -11.93 	0.00, 10.00 	15,3,48,922		inf,-nan	0,0 	0
0       	9.74, -6.95, -11.04 	136.57, -271.31, -11.95 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.80, -6.95, -11.03 	136.69, -271.52, -11.95 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.82, -6.94, -11.05 	136.59, -271.36, -11.94 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.77, -6.96, -11.07 	136.46, -271.10, -11.96 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.76, -6.92, -11.06 	136.48, -271.18, -11.94 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.70, -6.97, -11.06 	136.95, -272.05, -11.96 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
0       	9.72, -6.98, -11.05 	137.21, -272.55, -11.95 	0.00, 10.00 	15,3,48,923		inf,inf	0,0 	0
