#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-19.78, 13.67, -6.71 	25.15, 27.35, -8.69 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.70 	25.18, 27.36, -8.69 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.22, 27.36, -8.70 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.20, 27.38, -8.70 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.22, 27.38, -8.68 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.20, 27.39, -8.68 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.18, 27.37, -8.68 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.18, 27.37, -8.68 	0.00, 40.00 	14,48,40,945		-nan,-nan	0,0 	0
0       	-19.78, 13.68, -6.71 	25.17, 27.36, -8.68 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.17, 27.35, -8.68 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.16, 27.36, -8.69 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.20, 27.37, -8.68 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.23, 27.38, -8.69 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.24, 27.38, -8.68 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.25, 27.38, -8.68 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.23, 27.37, -8.67 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.22, 27.38, -8.67 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
