#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-2.46, 7.92, -7.35 	-0.43, -0.85, -7.73 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.45, 7.92, -7.42 	-0.43, -0.85, -7.73 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.45, 7.92, -7.42 	-0.43, -0.85, -7.73 	0.00, 10.00 	12,31,18,298		inf,-nan	0,0 	0
0       	-2.45, 7.92, -7.42 	-0.44, -0.84, -7.75 	0.00, 10.00 	12,31,18,298		-nan,inf	0,0 	0
0       	-2.38, 7.93, -7.43 	-0.44, -0.83, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.38, 7.93, -7.44 	-0.44, -0.84, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.38, 7.93, -7.44 	-0.41, -0.82, -7.76 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.38, 7.93, -7.44 	-0.41, -0.82, -7.76 	0.00, 10.00 	12,31,18,298		-nan,-nan	0,0 	0
0       	-2.42, 7.92, -7.43 	-0.45, -0.84, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.49, 7.92, -7.45 	-0.47, -0.84, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.50, 7.91, -7.45 	-0.47, -0.84, -7.75 	0.00, 10.00 	12,31,18,298		inf,-nan	0,0 	0
0       	-2.50, 7.91, -7.45 	-0.45, -0.83, -7.75 	0.00, 10.00 	12,31,18,298		-nan,inf	0,0 	0
0       	-2.56, 7.91, -7.46 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.62, 7.90, -7.45 	-0.41, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.60, 7.90, -7.44 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.62, 7.90, -7.43 	-0.41, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.62, 7.90, -7.43 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		-nan,inf	0,0 	0
0       	-2.62, 7.90, -7.43 	-0.41, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		-nan,inf	0,0 	0
0       	-2.70, 7.89, -7.41 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.75, 7.88, -7.36 	-0.39, -0.83, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.82, 7.87, -7.34 	-0.46, -0.82, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.81, 7.87, -7.33 	-0.46, -0.82, -7.76 	0.00, 10.00 	12,31,18,298		inf,-nan	0,0 	0
0       	-2.79, 7.88, -7.35 	-0.46, -0.82, -7.76 	0.00, 10.00 	12,31,18,298		inf,-nan	0,0 	0
0       	-2.77, 7.88, -7.33 	-0.46, -0.80, -7.75 	0.00, 10.00 	12,31,18,298		inf,inf	0,0 	0
0       	-2.78, 7.88, -7.33 	-0.46, -0.80, -7.75 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.78, 7.88, -7.36 	-0.46, -0.80, -7.75 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.74, 7.88, -7.42 	-0.46, -0.80, -7.75 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.70, 7.89, -7.42 	-0.44, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.62, 7.90, -7.42 	-0.44, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.70, 7.89, -7.43 	-0.41, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.71, 7.89, -7.43 	-0.42, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.80, 7.88, -7.44 	-0.41, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.79, 7.88, -7.44 	-0.44, -0.82, -7.74 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.79, 7.88, -7.43 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		-nan,inf	0,0 	0
0       	-2.77, 7.88, -7.42 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.66, 7.89, -7.41 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.58, 7.90, -7.40 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.57, 7.90, -7.40 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.61, 7.90, -7.40 	-0.41, -0.81, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.63, 7.90, -7.35 	-0.39, -0.80, -7.73 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.71, 7.89, -7.34 	-0.39, -0.80, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.81, 7.87, -7.36 	-0.39, -0.80, -7.73 	0.00, 10.00 	12,31,18,299		inf,-nan	0,0 	0
0       	-2.79, 7.87, -7.36 	-0.39, -0.79, -7.75 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.79, 7.87, -7.36 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,299		-nan,inf	0,0 	0
0       	-2.77, 7.88, -7.40 	-0.39, -0.79, -7.75 	0.00, 10.00 	12,31,18,299		inf,inf	0,0 	0
0       	-2.77, 7.88, -7.40 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,299		-nan,inf	0,0 	0
0       	-2.74, 7.88, -7.39 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.74, 7.88, -7.39 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,300		-nan,-nan	0,0 	0
0       	-2.76, 7.88, -7.39 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.77, 7.88, -7.39 	-0.39, -0.80, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.77, 7.88, -7.40 	-0.44, -0.79, -7.74 	0.00, 10.00 	12,31,18,300		-nan,inf	0,0 	0
0       	-2.78, 7.88, -7.37 	-0.44, -0.79, -7.74 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.82, 7.87, -7.37 	-0.42, -0.79, -7.76 	0.00, 10.00 	12,31,18,300		inf,inf	0,0 	0
0       	-2.82, 7.87, -7.42 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,inf	0,0 	0
0       	-2.81, 7.87, -7.41 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.82, 7.87, -7.41 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.80, 7.87, -7.44 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.68, 7.89, -7.42 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.73, 7.88, -7.42 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
0       	-2.65, 7.89, -7.42 	-0.39, -0.78, -7.75 	0.00, 10.00 	12,31,18,300		inf,-nan	0,0 	0
