#Time 	Sensor1         	Sensor2         	Target         
#================================================================

5896    	-0.28, -15.51 	-0.69, -16.17 	0.00, -6.58
5912    	-0.28, -15.51 	-0.69, -16.17 	0.00, -6.58
5928    	-0.28, -15.47 	-0.69, -16.17 	0.00, -6.58
6005    	-0.49, -10.30 	-0.69, -16.17 	0.00, -6.58
6022    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6038    	-0.29, -15.46 	-0.71, -16.17 	0.00, -6.58
6054    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6070    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6152    	-0.47, -10.26 	-0.71, -16.17 	0.00, -6.58
6169    	-0.29, -15.46 	-0.71, -16.17 	0.00, -6.58
6185    	-0.48, -10.26 	-0.71, -16.17 	0.00, -6.58
6202    	-0.47, -10.26 	-0.71, -16.17 	0.00, -6.58
6279    	-0.29, -15.46 	-0.71, -16.17 	0.00, -6.58
6296    	-0.29, -15.46 	-0.71, -16.17 	0.00, -6.58
6312    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6328    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6344    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
6420    	-0.26, -15.46 	-0.69, -16.17 	0.00, -6.58
6444    	-0.26, -15.51 	-0.69, -16.17 	0.00, -6.58
6460    	-0.26, -15.47 	-0.69, -16.16 	0.00, -6.58
6476    	-0.26, -15.47 	-0.71, -16.17 	0.00, -6.58
6492    	-0.26, -15.47 	-0.71, -16.17 	0.00, -6.58
6568    	-0.27, -15.46 	-0.70, -16.13 	0.00, -6.58
6585    	-0.27, -15.46 	-0.70, -16.13 	0.00, -6.58
6601    	-0.27, -15.46 	-0.71, -16.13 	0.00, -6.58
6617    	-0.26, -15.41 	-0.71, -16.13 	0.00, -6.58
6693    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6709    	-0.26, -15.42 	-0.71, -16.09 	0.00, -6.58
6725    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6741    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6757    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6834    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6850    	-0.26, -15.54 	-0.70, -16.13 	0.00, -6.58
6866    	-0.26, -15.54 	-0.70, -16.13 	0.00, -6.58
6882    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
6960    	-0.29, -15.42 	-0.71, -16.13 	0.00, -6.58
6975    	-0.28, -15.42 	-0.71, -16.13 	0.00, -6.58
6991    	-0.29, -15.42 	-0.70, -16.13 	0.00, -6.58
7006    	-0.29, -15.42 	-0.71, -16.13 	0.00, -6.58
7021    	-0.28, -15.42 	-0.71, -16.13 	0.00, -6.58
7100    	-0.29, -15.42 	-0.70, -16.17 	0.00, -6.58
7116    	-0.27, -15.51 	-0.70, -16.21 	0.00, -6.58
7132    	-0.27, -15.43 	-0.70, -16.21 	0.00, -6.58
7148    	-0.27, -15.42 	-0.70, -16.21 	0.00, -6.58
7226    	-0.29, -15.42 	-0.70, -16.21 	0.00, -6.58
7241    	-0.29, -15.42 	-0.70, -16.21 	0.00, -6.58
7256    	-0.29, -15.42 	-94.61, 353.29 	0.00, -6.58
7271    	-0.29, -15.42 	-0.70, -16.21 	0.00, -6.58
7287    	-0.29, -15.42 	-0.70, -16.21 	0.00, -6.58
7367    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
7382    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
7398    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
7422    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
7437    	-0.28, -15.47 	-0.70, -16.25 	0.00, -6.58
7515    	-0.28, -15.47 	-0.70, -16.25 	0.00, -6.58
7531    	-0.28, -15.47 	-0.70, -16.26 	0.00, -6.58
