#Time 	Sensor1         	Sensor2         	Target         
#================================================================

6097    	0.02, -14.44 	-11.83, -14.61 	0.00, 2.08
6114    	0.03, -14.44 	-11.83, -14.61 	0.00, 2.08
6134    	0.03, -14.55 	-11.83, -14.65 	0.00, 2.08
6150    	0.03, -14.55 	-11.82, -14.69 	0.00, 2.08
6166    	0.03, -14.55 	-11.82, -14.65 	0.00, 2.08
6248    	0.03, -14.59 	-11.82, -14.57 	0.00, 2.08
6265    	0.03, -14.59 	-11.82, -14.57 	0.00, 2.08
6286    	0.03, -14.59 	-11.82, -14.53 	0.00, 2.08
6302    	0.03, -14.59 	-11.82, -14.53 	0.00, 2.08
6319    	0.03, -14.59 	-11.82, -14.53 	0.00, 2.08
6397    	0.03, -14.44 	-11.82, -14.57 	0.00, 2.08
6414    	0.03, -14.44 	-11.82, -14.64 	0.00, 2.08
6434    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
6450    	0.03, -14.44 	-11.81, -14.65 	0.00, 2.08
6466    	0.03, -14.44 	-11.81, -14.65 	0.00, 2.08
6550    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
6567    	0.03, -14.55 	-11.82, -14.65 	0.00, 2.08
6583    	0.03, -14.55 	-11.82, -14.65 	0.00, 2.08
6599    	0.03, -14.55 	-11.82, -14.65 	0.00, 2.08
6615    	0.03, -14.59 	-11.82, -14.65 	0.00, 2.08
6694    	0.03, -14.44 	-11.83, -14.61 	0.00, 2.08
6711    	0.03, -14.44 	-11.83, -14.61 	0.00, 2.08
6727    	0.03, -14.43 	-11.83, -14.61 	0.00, 2.08
6744    	0.02, -14.43 	-11.83, -14.61 	0.00, 2.08
6821    	0.02, -14.52 	-11.83, -14.57 	0.00, 2.08
6837    	0.02, -14.52 	-11.83, -14.57 	0.00, 2.08
6853    	0.03, -14.52 	-11.83, -14.61 	0.00, 2.08
6869    	0.04, -14.52 	-11.83, -14.61 	0.00, 2.08
6886    	0.02, -14.52 	-11.83, -14.61 	0.00, 2.08
6968    	0.02, -14.43 	-11.83, -14.61 	0.00, 2.08
6984    	0.02, -14.43 	-11.81, -14.61 	0.00, 2.08
7000    	0.02, -14.43 	-11.81, -14.61 	0.00, 2.08
7016    	0.03, -14.43 	-11.81, -14.61 	0.00, 2.08
7032    	0.03, -14.48 	-11.81, -14.61 	0.00, 2.08
7109    	0.02, -14.44 	-11.83, -14.58 	0.00, 2.08
7126    	0.02, -14.44 	-11.82, -14.57 	0.00, 2.08
7142    	0.02, -14.44 	-11.83, -14.57 	0.00, 2.08
7158    	0.02, -14.52 	-11.83, -14.57 	0.00, 2.08
7234    	0.02, -14.52 	-11.83, -14.62 	0.00, 2.08
7250    	0.02, -14.52 	-11.83, -14.62 	0.00, 2.08
7266    	0.02, -14.52 	-11.83, -14.62 	0.00, 2.08
7282    	0.02, -14.52 	-11.81, -14.62 	0.00, 2.08
7298    	0.02, -14.52 	-11.82, -14.62 	0.00, 2.08
7379    	0.02, -14.52 	-11.82, -14.66 	0.00, 2.08
7395    	0.02, -14.52 	-11.82, -14.66 	0.00, 2.08
7411    	0.02, -14.52 	-11.82, -14.66 	0.00, 2.08
7427    	0.02, -14.52 	-11.82, -14.66 	0.00, 2.08
7443    	0.02, -14.52 	-11.81, -14.65 	0.00, 2.08
7522    	0.02, -14.47 	-11.81, -14.65 	0.00, 2.08
