#Time 	Sensor1         	Sensor2         	Target         
#================================================================

5114    	-0.02, -14.84 	-11.81, -14.78 	-9.15, -4.23
5139    	-0.02, -14.79 	-11.81, -14.74 	-9.15, -4.23
5155    	-0.03, -14.84 	-11.81, -14.78 	-9.15, -4.23
5172    	-0.02, -14.87 	-11.81, -14.78 	-9.15, -4.23
5252    	-0.01, -15.17 	-11.79, -15.34 	-9.15, -4.23
5268    	0.01, -15.59 	-11.80, -15.66 	-9.15, -4.23
5284    	-0.00, -15.66 	-11.78, -16.84 	-9.15, -4.23
5300    	-0.02, -15.75 	-11.69, -17.03 	-9.15, -4.23
5316    	-0.01, -15.82 	-11.73, -16.85 	-9.15, -4.23
5393    	0.02, -16.04 	-11.66, -17.05 	-9.15, -4.23
5410    	0.02, -16.12 	-11.66, -17.01 	-9.15, -4.23
5431    	0.03, -16.12 	-11.64, -17.01 	-9.15, -4.23
5447    	0.03, -16.11 	-11.63, -16.93 	-9.15, -4.23
5469    	0.03, -16.11 	-11.64, -16.93 	-9.15, -4.23
5549    	0.02, -16.12 	-11.75, -15.08 	-9.15, -4.23
5565    	0.02, -16.03 	-11.75, -15.23 	-9.15, -4.23
5581    	0.01, -15.99 	-11.75, -15.25 	-9.15, -4.23
5597    	0.02, -16.07 	-11.72, -15.24 	-9.15, -4.23
5614    	0.02, -16.07 	-11.76, -14.92 	-9.15, -4.23
5706    	0.01, -16.06 	-11.79, -14.70 	-9.15, -4.23
5722    	0.01, -16.07 	-11.80, -14.55 	-9.15, -4.23
5739    	0.02, -16.07 	-11.82, -14.55 	-9.15, -4.23
5755    	0.01, -16.11 	-11.78, -14.63 	-9.15, -4.23
5780    	0.02, -16.10 	-11.79, -14.64 	-9.15, -4.23
5797    	0.00, -16.03 	-11.80, -14.52 	-9.15, -4.23
5886    	0.03, -16.02 	-11.81, -14.68 	-9.15, -4.23
5902    	0.02, -16.11 	-11.81, -14.60 	-9.15, -4.23
5919    	0.02, -16.07 	-11.81, -14.64 	-9.15, -4.23
5935    	0.03, -15.95 	-11.81, -14.64 	-9.15, -4.23
5960    	0.02, -16.00 	-11.81, -14.64 	-9.15, -4.23
5977    	0.02, -15.84 	-11.81, -14.64 	-9.15, -4.23
6057    	0.03, -15.74 	-11.79, -14.69 	-9.15, -4.23
6073    	0.05, -15.71 	-11.81, -14.65 	-9.15, -4.23
6089    	0.03, -15.55 	-11.81, -14.65 	-9.15, -4.23
6105    	0.03, -15.40 	-11.81, -14.65 	-9.15, -4.23
6121    	0.03, -15.48 	-11.81, -14.68 	-9.15, -4.23
6205    	0.02, -15.22 	-11.80, -14.68 	-9.15, -4.23
