#Time 	Sensor1         	Sensor2         	Target         
#================================================================

4574    	0.02, -14.28 	-11.82, -14.89 	-12.20, -0.55
4590    	0.02, -14.41 	-11.82, -14.80 	-12.20, -0.55
4653    	0.02, -14.40 	-11.82, -14.85 	-12.20, -0.55
4669    	0.02, -14.40 	-11.82, -14.80 	-12.20, -0.55
4685    	0.02, -14.40 	-11.82, -14.85 	-12.20, -0.55
4701    	0.02, -14.40 	-11.80, -14.85 	-12.20, -0.55
4717    	0.02, -14.40 	-11.82, -14.81 	-12.20, -0.55
4794    	0.03, -14.45 	-11.82, -14.85 	-12.20, -0.55
4810    	0.03, -14.45 	-11.82, -14.85 	-12.20, -0.55
4826    	0.03, -14.45 	-11.82, -14.85 	-12.20, -0.55
4842    	0.03, -14.44 	-11.84, -14.80 	-12.20, -0.55
4858    	0.02, -14.40 	-11.83, -14.81 	-12.20, -0.55
4940    	0.03, -14.44 	-11.83, -14.73 	-12.20, -0.55
4957    	0.03, -14.43 	-11.83, -14.73 	-12.20, -0.55
4973    	0.04, -14.43 	-11.82, -14.73 	-12.20, -0.55
4989    	0.04, -14.48 	-11.83, -14.73 	-12.20, -0.55
5009    	0.02, -14.36 	-11.83, -14.73 	-12.20, -0.55
5088    	0.03, -14.36 	-11.82, -14.85 	-12.20, -0.55
5104    	0.03, -14.48 	-11.82, -14.85 	-12.20, -0.55
5120    	0.03, -14.48 	-11.82, -14.73 	-12.20, -0.55
5183    	0.01, -14.36 	-11.83, -14.73 	-12.20, -0.55
5199    	0.01, -14.36 	-11.83, -14.73 	-12.20, -0.55
5215    	0.01, -14.37 	-11.82, -14.81 	-12.20, -0.55
5231    	0.01, -14.36 	-11.82, -14.81 	-12.20, -0.55
5248    	0.01, -14.36 	-11.80, -14.85 	-12.20, -0.55
5330    	0.00, -14.32 	-11.83, -14.73 	-12.20, -0.55
5346    	0.01, -14.37 	-11.83, -14.73 	-12.20, -0.55
5362    	0.01, -14.37 	-11.83, -14.73 	-12.20, -0.55
5378    	0.01, -14.37 	-11.83, -14.73 	-12.20, -0.55
5394    	0.01, -14.33 	-11.81, -14.73 	-12.20, -0.55
5470    	0.00, -14.32 	-11.83, -14.73 	-12.20, -0.55
5487    	0.01, -14.41 	-11.83, -14.73 	-12.20, -0.55
5511    	0.00, -14.32 	-11.83, -14.77 	-12.20, -0.55
5527    	0.01, -14.32 	-11.83, -14.77 	-12.20, -0.55
5544    	0.01, -14.33 	-11.83, -14.76 	-12.20, -0.55
