#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	2.06, -0.05, -7.90 	21.51, -23.83, -4.06 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.05, -0.04, -7.90 	21.57, -23.82, -4.05 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.05, -0.05, -7.89 	21.57, -23.83, -4.05 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.01, -0.02, -7.89 	21.56, -23.82, -4.04 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.01, -0.03, -7.89 	21.56, -23.83, -4.03 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.01, -0.04, -7.88 	21.51, -23.83, -4.02 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.00, -0.03, -7.89 	21.48, -23.85, -4.02 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.01, -0.03, -7.90 	21.47, -23.85, -4.01 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.00, -0.03, -7.88 	21.44, -23.82, -4.01 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	1.98, -0.01, -7.90 	21.45, -23.82, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.96, -0.00, -7.89 	21.46, -23.82, -4.02 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.96, -0.00, -7.90 	21.48, -23.82, -4.03 	0.00, 10.00 	14,6,21,231		-nan,inf	0,0 	0
0       	1.95, -0.00, -7.90 	21.50, -23.83, -4.04 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.98, 0.02, -7.90 	21.54, -23.82, -4.05 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.95, -0.00, -7.88 	21.51, -23.83, -4.03 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.95, 0.01, -7.88 	21.51, -23.82, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.92, 0.01, -7.88 	21.49, -23.85, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.94, 0.01, -7.88 	21.50, -23.80, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.97, 0.04, -7.88 	21.49, -23.82, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.97, 0.04, -7.88 	21.56, -23.80, -4.00 	0.00, 10.00 	14,6,21,231		-nan,inf	0,0 	0
0       	1.95, 0.04, -7.88 	21.56, -23.79, -4.01 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.93, 0.05, -7.88 	21.57, -23.79, -4.02 	0.00, 10.00 	14,6,21,231		inf,inf	0,0 	0
0       	1.94, 0.03, -7.88 	21.60, -23.79, -4.02 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
0       	1.92, 0.03, -7.88 	21.59, -23.79, -4.02 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
0       	1.91, 0.04, -7.88 	21.58, -23.80, -4.00 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
0       	1.90, 0.03, -7.88 	21.56, -23.81, -3.99 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
0       	1.90, 0.02, -7.87 	21.50, -23.81, -3.99 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
0       	1.89, 0.03, -7.88 	21.47, -23.85, -3.97 	0.00, 10.00 	14,6,21,232		inf,inf	0,0 	0
