#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	1.82, -9.09, 2.65 	0.08, 0.76, -6.39 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.83, -9.09, 2.66 	0.08, 0.75, -6.41 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.86, -9.09, 2.66 	0.09, 0.74, -6.39 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.84, -9.08, 2.67 	0.08, 0.76, -6.38 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.06, 2.67 	0.07, 0.77, -6.38 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.07, 2.67 	0.12, 0.78, -6.38 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	1.78, -9.09, 2.67 	0.12, 0.79, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	1.74, -9.09, 2.69 	0.12, 0.79, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	1.79, -9.11, 2.68 	0.12, 0.79, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	1.80, -9.08, 2.69 	0.10, 0.77, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	1.84, -9.09, 2.69 	0.06, 0.75, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	1.83, -9.11, 2.70 	0.11, 0.75, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	1.80, -9.11, 2.68 	0.11, 0.75, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	1.85, -9.13, 2.68 	0.11, 0.75, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	1.83, -9.09, 2.68 	0.10, 0.78, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	2.46, -8.64, 3.29 	0.10, 0.78, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	6.94, -4.19, 4.26 	0.10, 0.78, -6.40 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	2.85, -5.33, 1.96 	0.03, 0.77, -6.40 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
