#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.85, -6.70, 5.16 	-3.60, -16.35, -1.67 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.85, -6.70, 5.17 	-3.53, -16.32, -1.71 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.90, -6.72, 5.17 	-3.39, -16.31, -1.72 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.90, -6.72, 5.16 	-3.34, -16.27, -1.72 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.89, -6.72, 5.16 	-3.37, -16.24, -1.67 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.89, -6.72, 5.16 	-3.46, -16.22, -1.58 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.89, -6.72, 5.16 	-3.51, -16.27, -1.52 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.88, -6.70, 5.16 	-3.57, -16.25, -1.50 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.16 	-3.48, -16.21, -1.58 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.90, -6.68, 5.17 	-3.13, -16.14, -1.77 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.89, -6.69, 5.17 	-2.67, -16.06, -1.99 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.87, -6.68, 5.17 	-2.46, -16.09, -2.11 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.87, -6.68, 5.17 	-2.48, -16.10, -2.13 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.87, -6.68, 5.17 	-2.44, -16.09, -2.14 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.88, -6.69, 5.17 	-2.46, -16.14, -2.18 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.89, -6.69, 5.16 	-2.15, -16.11, -2.48 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.92, -6.67, 5.16 	-1.52, -16.04, -2.90 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.92, -6.67, 5.16 	-1.61, -16.29, -2.83 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.92, -6.67, 5.16 	-1.81, -16.66, -2.56 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.92, -6.67, 5.16 	-1.74, -16.82, -2.39 	0.00, 10.00 	11,32,57,354		-nan,inf	0,0 	0
0       	-1.92, -6.66, 5.16 	-1.33, -16.68, -2.41 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.96, -6.67, 5.16 	-1.14, -16.36, -2.43 	0.00, 10.00 	11,32,57,354		inf,inf	0,0 	0
0       	-1.95, -6.68, 5.16 	-1.82, -16.26, -2.13 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.92, -6.70, 5.16 	-2.84, -16.35, -1.71 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.92, -6.70, 5.16 	-3.32, -16.29, -1.52 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.91, -6.70, 5.16 	-3.30, -16.13, -1.57 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.91, -6.70, 5.15 	-3.18, -16.11, -1.70 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.91, -6.69, 5.15 	-3.17, -16.28, -1.75 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.91, -6.68, 5.15 	-3.07, -16.37, -1.80 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.91, -6.68, 5.15 	-2.89, -16.39, -1.85 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.92, -6.66, 5.15 	-2.76, -16.41, -1.89 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.90, -6.69, 5.15 	-2.66, -16.35, -1.92 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.91, -6.70, 5.15 	-2.56, -16.32, -1.95 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.91, -6.70, 5.15 	-2.53, -16.23, -1.94 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.89, -6.70, 5.15 	-2.60, -16.07, -1.96 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
